sk_cliente,codigo_cliente,nome_cliente,sexo,faixa_etaria,renda_faixa,estado,cidade,bairro,canal_preferido,data_cadastro,cliente_ativo,cliente_flag
11879,CLI0011879,William Teixeira,Masculino,18-24,20+ SM,CE,Ribeirão Preto,Bela Vista,WhatsApp,2019-12-31,1,True
11880,CLI0011880,Ana Silva,Feminino,25-34,Até 2 SM,SP,São Paulo,Centro,Loja Física,2020-01-11,1,True
11881,CLI0011881,Bruno Souza,Masculino,35-44,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2020-01-22,1,True
11882,CLI0011882,Carlos Oliveira,Feminino,45-54,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2020-02-02,1,True
11883,CLI0011883,Daniela Santos,Masculino,55-64,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2020-02-13,1,True
11884,CLI0011884,Eduardo Pereira,Feminino,65+,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2020-02-24,1,True
11885,CLI0011885,Fernanda Lima,Masculino,65+,20+ SM,RS,Porto Alegre,Vila Mariana,App,2020-03-06,1,True
11886,CLI0011886,Gabriel Costa,Feminino,18-24,Até 2 SM,BA,Salvador,Santana,Site,2020-03-17,1,True
11887,CLI0011887,Helena Almeida,Masculino,25-34,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2020-03-28,1,True
11888,CLI0011888,Igor Ribeiro,Feminino,35-44,4 a 8 SM,PE,Recife,Butantã,Loja Física,2020-04-08,1,True
11889,CLI0011889,Juliana Carvalho,Masculino,45-54,8 a 12 SM,CE,Fortaleza,Lapa,App,2020-04-19,1,True
11890,CLI0011890,Karina Gomes,Feminino,55-64,12 a 20 SM,SP,Santos,Liberdade,Site,2020-04-30,1,True
11891,CLI0011891,Lucas Martins,Masculino,65+,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2020-05-11,0,0
11892,CLI0011892,Mariana Rocha,Feminino,65+,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2020-05-22,1,True
11893,CLI0011893,Nicolas Dias,Masculino,18-24,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2020-06-02,1,True
11894,CLI0011894,Patrícia Araujo,Feminino,25-34,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2020-06-13,1,True
11895,CLI0011895,Rafael Barbosa,Masculino,35-44,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2020-06-24,1,True
11896,CLI0011896,Sabrina Moura,Feminino,45-54,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2020-07-05,1,True
11897,CLI0011897,Thiago Freitas,Masculino,55-64,20+ SM,GO,Porto Alegre,Moema,App,2020-07-16,1,True
11898,CLI0011898,Vanessa Mendes,Feminino,65+,Até 2 SM,PE,Salvador,Tatuapé,Site,2020-07-27,1,True
11899,CLI0011899,William Teixeira,Masculino,65+,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2020-08-07,1,True
11900,CLI0011900,Ana Silva,Feminino,18-24,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2020-08-18,1,True
11901,CLI0011901,Bruno Souza,Masculino,25-34,8 a 12 SM,RJ,Fortaleza,Santana,App,2020-08-29,1,True
11902,CLI0011902,Carlos Oliveira,Feminino,35-44,12 a 20 SM,MG,Santos,Ipiranga,Site,2020-09-09,1,True
11903,CLI0011903,Daniela Santos,Masculino,45-54,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2020-09-20,1,True
11904,CLI0011904,Eduardo Pereira,Feminino,55-64,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2020-10-01,1,True
11905,CLI0011905,Fernanda Lima,Masculino,65+,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2020-10-12,1,True
11906,CLI0011906,Gabriel Costa,Feminino,65+,4 a 8 SM,BA,Belo Horizonte,Saúde,Site,2020-10-23,1,True
11907,CLI0011907,Helena Almeida,Masculino,18-24,8 a 12 SM,GO,Campinas,Morumbi,WhatsApp,2020-11-03,1,True
11908,CLI0011908,Igor Ribeiro,Feminino,25-34,12 a 20 SM,PE,Curitiba,Perdizes,Loja Física,2020-11-14,1,True
11909,CLI0011909,Juliana Carvalho,Masculino,35-44,20+ SM,CE,Porto Alegre,Bela Vista,App,2020-11-25,1,True
11910,CLI0011910,Karina Gomes,Feminino,45-54,Até 2 SM,SP,Salvador,Centro,Site,2020-12-06,1,True
11911,CLI0011911,Lucas Martins,Masculino,55-64,2 a 4 SM,RJ,Goiânia,Jardins,WhatsApp,2020-12-17,1,True
11912,CLI0011912,Mariana Rocha,Feminino,65+,4 a 8 SM,MG,Recife,Moema,Loja Física,2020-12-28,1,True
11913,CLI0011913,Nicolas Dias,Masculino,65+,8 a 12 SM,PR,Fortaleza,Tatuapé,App,2021-01-08,1,True
11914,CLI0011914,Patrícia Araujo,Feminino,18-24,12 a 20 SM,SC,Santos,Pinheiros,Site,2021-01-19,0,0
11915,CLI0011915,Rafael Barbosa,Masculino,25-34,20+ SM,RS,Ribeirão Preto,Vila Mariana,WhatsApp,2021-01-30,1,True
11916,CLI0011916,Sabrina Moura,Feminino,35-44,Até 2 SM,BA,São Paulo,Santana,Loja Física,2021-02-10,1,True
11917,CLI0011917,Thiago Freitas,Masculino,45-54,2 a 4 SM,GO,Rio de Janeiro,Ipiranga,App,2021-02-21,1,True
11918,CLI0011918,Vanessa Mendes,Feminino,55-64,4 a 8 SM,PE,Belo Horizonte,Butantã,Site,2021-03-04,1,True
11919,CLI0011919,William Teixeira,Masculino,65+,8 a 12 SM,CE,Campinas,Lapa,WhatsApp,2021-03-15,1,True
11920,CLI0011920,Ana Silva,Feminino,65+,12 a 20 SM,SP,Curitiba,Liberdade,Loja Física,2021-03-26,1,True
11921,CLI0011921,Bruno Souza,Masculino,18-24,20+ SM,RJ,Porto Alegre,Saúde,App,2021-04-06,1,True
11922,CLI0011922,Carlos Oliveira,Feminino,25-34,Até 2 SM,MG,Salvador,Morumbi,Site,2021-04-17,1,True
11923,CLI0011923,Daniela Santos,Masculino,35-44,2 a 4 SM,PR,Goiânia,Perdizes,WhatsApp,2021-04-28,1,True
11924,CLI0011924,Eduardo Pereira,Feminino,45-54,4 a 8 SM,SC,Recife,Bela Vista,Loja Física,2021-05-09,1,True
11925,CLI0011925,Fernanda Lima,Masculino,55-64,8 a 12 SM,RS,Fortaleza,Centro,App,2021-05-20,1,True
11926,CLI0011926,Gabriel Costa,Feminino,65+,12 a 20 SM,BA,Santos,Jardins,Site,2021-05-31,1,True
11927,CLI0011927,Helena Almeida,Masculino,65+,20+ SM,GO,Ribeirão Preto,Moema,WhatsApp,2021-06-11,1,True
11928,CLI0011928,Igor Ribeiro,Feminino,18-24,Até 2 SM,PE,São Paulo,Tatuapé,Loja Física,2021-06-22,1,True
11929,CLI0011929,Juliana Carvalho,Masculino,25-34,2 a 4 SM,CE,Rio de Janeiro,Pinheiros,App,2021-07-03,1,True
11930,CLI0011930,Karina Gomes,Feminino,35-44,4 a 8 SM,SP,Belo Horizonte,Vila Mariana,Site,2021-07-14,1,True
11931,CLI0011931,Lucas Martins,Masculino,45-54,8 a 12 SM,RJ,Campinas,Santana,WhatsApp,2021-07-25,1,True
11932,CLI0011932,Mariana Rocha,Feminino,55-64,12 a 20 SM,MG,Curitiba,Ipiranga,Loja Física,2021-08-05,1,True
11933,CLI0011933,Nicolas Dias,Masculino,65+,20+ SM,PR,Porto Alegre,Butantã,App,2021-08-16,1,True
11934,CLI0011934,Patrícia Araujo,Feminino,65+,Até 2 SM,SC,Salvador,Lapa,Site,2021-08-27,1,True
11935,CLI0011935,Rafael Barbosa,Masculino,18-24,2 a 4 SM,RS,Goiânia,Liberdade,WhatsApp,2021-09-07,1,True
11936,CLI0011936,Sabrina Moura,Feminino,25-34,4 a 8 SM,BA,Recife,Saúde,Loja Física,2021-09-18,1,True
11937,CLI0011937,Thiago Freitas,Masculino,35-44,8 a 12 SM,GO,Fortaleza,Morumbi,App,2021-09-29,0,0
11938,CLI0011938,Vanessa Mendes,Feminino,45-54,12 a 20 SM,PE,Santos,Perdizes,Site,2021-10-10,1,True
11939,CLI0011939,William Teixeira,Masculino,55-64,20+ SM,CE,Ribeirão Preto,Bela Vista,WhatsApp,2021-10-21,1,True
11940,CLI0011940,Ana Silva,Feminino,65+,Até 2 SM,SP,São Paulo,Centro,Loja Física,2021-11-01,1,True
11941,CLI0011941,Bruno Souza,Masculino,65+,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2021-11-12,1,True
11942,CLI0011942,Carlos Oliveira,Feminino,18-24,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2021-11-23,1,True
11943,CLI0011943,Daniela Santos,Masculino,25-34,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2021-12-04,1,True
11944,CLI0011944,Eduardo Pereira,Feminino,35-44,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2021-12-15,1,True
11945,CLI0011945,Fernanda Lima,Masculino,45-54,20+ SM,RS,Porto Alegre,Vila Mariana,App,2021-12-26,1,True
11946,CLI0011946,Gabriel Costa,Feminino,55-64,Até 2 SM,BA,Salvador,Santana,Site,2022-01-06,1,True
11947,CLI0011947,Helena Almeida,Masculino,65+,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2022-01-17,1,True
11948,CLI0011948,Igor Ribeiro,Feminino,65+,4 a 8 SM,PE,Recife,Butantã,Loja Física,2022-01-28,1,True
11949,CLI0011949,Juliana Carvalho,Masculino,18-24,8 a 12 SM,CE,Fortaleza,Lapa,App,2022-02-08,1,True
11950,CLI0011950,Karina Gomes,Feminino,25-34,12 a 20 SM,SP,Santos,Liberdade,Site,2022-02-19,1,True
11951,CLI0011951,Lucas Martins,Masculino,35-44,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2022-03-02,1,True
11952,CLI0011952,Mariana Rocha,Feminino,45-54,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2022-03-13,1,True
11953,CLI0011953,Nicolas Dias,Masculino,55-64,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2022-03-24,1,True
11954,CLI0011954,Patrícia Araujo,Feminino,65+,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2022-04-04,1,True
11955,CLI0011955,Rafael Barbosa,Masculino,65+,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2022-04-15,1,True
11956,CLI0011956,Sabrina Moura,Feminino,18-24,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2022-04-26,1,True
11957,CLI0011957,Thiago Freitas,Masculino,25-34,20+ SM,GO,Porto Alegre,Moema,App,2022-05-07,1,True
11958,CLI0011958,Vanessa Mendes,Feminino,35-44,Até 2 SM,PE,Salvador,Tatuapé,Site,2022-05-18,1,True
11959,CLI0011959,William Teixeira,Masculino,45-54,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2022-05-29,1,True
11960,CLI0011960,Ana Silva,Feminino,55-64,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2022-06-09,0,0
11961,CLI0011961,Bruno Souza,Masculino,65+,8 a 12 SM,RJ,Fortaleza,Santana,App,2022-06-20,1,True
11962,CLI0011962,Carlos Oliveira,Feminino,65+,12 a 20 SM,MG,Santos,Ipiranga,Site,2022-07-01,1,True
11963,CLI0011963,Daniela Santos,Masculino,18-24,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2022-07-12,1,True
11964,CLI0011964,Eduardo Pereira,Feminino,25-34,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2022-07-23,1,True
11965,CLI0011965,Fernanda Lima,Masculino,35-44,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2022-08-03,1,True
11966,CLI0011966,Gabriel Costa,Feminino,45-54,4 a 8 SM,BA,Belo Horizonte,Saúde,Site,2022-08-14,1,True
11967,CLI0011967,Helena Almeida,Masculino,55-64,8 a 12 SM,GO,Campinas,Morumbi,WhatsApp,2022-08-25,1,True
11968,CLI0011968,Igor Ribeiro,Feminino,65+,12 a 20 SM,PE,Curitiba,Perdizes,Loja Física,2022-09-05,1,True
11969,CLI0011969,Juliana Carvalho,Masculino,65+,20+ SM,CE,Porto Alegre,Bela Vista,App,2022-09-16,1,True
11970,CLI0011970,Karina Gomes,Feminino,18-24,Até 2 SM,SP,Salvador,Centro,Site,2022-09-27,1,True
11971,CLI0011971,Lucas Martins,Masculino,25-34,2 a 4 SM,RJ,Goiânia,Jardins,WhatsApp,2022-10-08,1,True
11972,CLI0011972,Mariana Rocha,Feminino,35-44,4 a 8 SM,MG,Recife,Moema,Loja Física,2022-10-19,1,True
11973,CLI0011973,Nicolas Dias,Masculino,45-54,8 a 12 SM,PR,Fortaleza,Tatuapé,App,2022-10-30,1,True
11974,CLI0011974,Patrícia Araujo,Feminino,55-64,12 a 20 SM,SC,Santos,Pinheiros,Site,2022-11-10,1,True
11975,CLI0011975,Rafael Barbosa,Masculino,65+,20+ SM,RS,Ribeirão Preto,Vila Mariana,WhatsApp,2022-11-21,1,True
11976,CLI0011976,Sabrina Moura,Feminino,65+,Até 2 SM,BA,São Paulo,Santana,Loja Física,2022-12-02,1,True
11977,CLI0011977,Thiago Freitas,Masculino,18-24,2 a 4 SM,GO,Rio de Janeiro,Ipiranga,App,2022-12-13,1,True
11978,CLI0011978,Vanessa Mendes,Feminino,25-34,4 a 8 SM,PE,Belo Horizonte,Butantã,Site,2022-12-24,1,True
11979,CLI0011979,William Teixeira,Masculino,35-44,8 a 12 SM,CE,Campinas,Lapa,WhatsApp,2023-01-04,1,True
11980,CLI0011980,Ana Silva,Feminino,45-54,12 a 20 SM,SP,Curitiba,Liberdade,Loja Física,2023-01-15,1,True
11981,CLI0011981,Bruno Souza,Masculino,55-64,20+ SM,RJ,Porto Alegre,Saúde,App,2023-01-26,1,True
11982,CLI0011982,Carlos Oliveira,Feminino,65+,Até 2 SM,MG,Salvador,Morumbi,Site,2023-02-06,1,True
11983,CLI0011983,Daniela Santos,Masculino,65+,2 a 4 SM,PR,Goiânia,Perdizes,WhatsApp,2023-02-17,0,0
11984,CLI0011984,Eduardo Pereira,Feminino,18-24,4 a 8 SM,SC,Recife,Bela Vista,Loja Física,2023-02-28,1,True
11985,CLI0011985,Fernanda Lima,Masculino,25-34,8 a 12 SM,RS,Fortaleza,Centro,App,2023-03-11,1,True
11986,CLI0011986,Gabriel Costa,Feminino,35-44,12 a 20 SM,BA,Santos,Jardins,Site,2023-03-22,1,True
11987,CLI0011987,Helena Almeida,Masculino,45-54,20+ SM,GO,Ribeirão Preto,Moema,WhatsApp,2023-04-02,1,True
11988,CLI0011988,Igor Ribeiro,Feminino,55-64,Até 2 SM,PE,São Paulo,Tatuapé,Loja Física,2023-04-13,1,True
11989,CLI0011989,Juliana Carvalho,Masculino,65+,2 a 4 SM,CE,Rio de Janeiro,Pinheiros,App,2023-04-24,1,True
11990,CLI0011990,Karina Gomes,Feminino,65+,4 a 8 SM,SP,Belo Horizonte,Vila Mariana,Site,2023-05-05,1,True
11991,CLI0011991,Lucas Martins,Masculino,18-24,8 a 12 SM,RJ,Campinas,Santana,WhatsApp,2023-05-16,1,True
11992,CLI0011992,Mariana Rocha,Feminino,25-34,12 a 20 SM,MG,Curitiba,Ipiranga,Loja Física,2023-05-27,1,True
11993,CLI0011993,Nicolas Dias,Masculino,35-44,20+ SM,PR,Porto Alegre,Butantã,App,2023-06-07,1,True
11994,CLI0011994,Patrícia Araujo,Feminino,45-54,Até 2 SM,SC,Salvador,Lapa,Site,2023-06-18,1,True
11995,CLI0011995,Rafael Barbosa,Masculino,55-64,2 a 4 SM,RS,Goiânia,Liberdade,WhatsApp,2023-06-29,1,True
11996,CLI0011996,Sabrina Moura,Feminino,65+,4 a 8 SM,BA,Recife,Saúde,Loja Física,2023-07-10,1,True
11997,CLI0011997,Thiago Freitas,Masculino,65+,8 a 12 SM,GO,Fortaleza,Morumbi,App,2023-07-21,1,True
11998,CLI0011998,Vanessa Mendes,Feminino,18-24,12 a 20 SM,PE,Santos,Perdizes,Site,2023-08-01,1,True
11999,CLI0011999,William Teixeira,Masculino,25-34,20+ SM,CE,Ribeirão Preto,Bela Vista,WhatsApp,2023-08-12,1,True
12000,CLI0012000,Ana Silva,Feminino,35-44,Até 2 SM,SP,São Paulo,Centro,Loja Física,2023-08-23,1,True
12001,CLI0012001,Bruno Souza,Masculino,45-54,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2023-09-03,1,True
12002,CLI0012002,Carlos Oliveira,Feminino,55-64,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2023-09-14,1,True
12003,CLI0012003,Daniela Santos,Masculino,65+,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2023-09-25,1,True
12004,CLI0012004,Eduardo Pereira,Feminino,65+,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2023-10-06,1,True
12005,CLI0012005,Fernanda Lima,Masculino,18-24,20+ SM,RS,Porto Alegre,Vila Mariana,App,2023-10-17,1,True
12006,CLI0012006,Gabriel Costa,Feminino,25-34,Até 2 SM,BA,Salvador,Santana,Site,2023-10-28,0,0
12007,CLI0012007,Helena Almeida,Masculino,35-44,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2023-11-08,1,True
12008,CLI0012008,Igor Ribeiro,Feminino,45-54,4 a 8 SM,PE,Recife,Butantã,Loja Física,2023-11-19,1,True
12009,CLI0012009,Juliana Carvalho,Masculino,55-64,8 a 12 SM,CE,Fortaleza,Lapa,App,2023-11-30,1,True
12010,CLI0012010,Karina Gomes,Feminino,65+,12 a 20 SM,SP,Santos,Liberdade,Site,2023-12-11,1,True
12011,CLI0012011,Lucas Martins,Masculino,65+,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2023-12-22,1,True
12012,CLI0012012,Mariana Rocha,Feminino,18-24,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2024-01-02,1,True
12013,CLI0012013,Nicolas Dias,Masculino,25-34,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2024-01-13,1,True
12014,CLI0012014,Patrícia Araujo,Feminino,35-44,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2024-01-24,1,True
12015,CLI0012015,Rafael Barbosa,Masculino,45-54,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2024-02-04,1,True
12016,CLI0012016,Sabrina Moura,Feminino,55-64,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2024-02-15,1,True
12017,CLI0012017,Thiago Freitas,Masculino,65+,20+ SM,GO,Porto Alegre,Moema,App,2024-02-26,1,True
12018,CLI0012018,Vanessa Mendes,Feminino,65+,Até 2 SM,PE,Salvador,Tatuapé,Site,2024-03-08,1,True
12019,CLI0012019,William Teixeira,Masculino,18-24,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2024-03-19,1,True
12020,CLI0012020,Ana Silva,Feminino,25-34,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2024-03-30,1,True
12021,CLI0012021,Bruno Souza,Masculino,35-44,8 a 12 SM,RJ,Fortaleza,Santana,App,2024-04-10,1,True
12022,CLI0012022,Carlos Oliveira,Feminino,45-54,12 a 20 SM,MG,Santos,Ipiranga,Site,2024-04-21,1,True
12023,CLI0012023,Daniela Santos,Masculino,55-64,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2024-05-02,1,True
12024,CLI0012024,Eduardo Pereira,Feminino,65+,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2024-05-13,1,True
12025,CLI0012025,Fernanda Lima,Masculino,65+,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2024-05-24,1,True
12026,CLI0012026,Gabriel Costa,Feminino,18-24,4 a 8 SM,BA,Belo Horizonte,Saúde,Site,2024-06-04,1,True
12027,CLI0012027,Helena Almeida,Masculino,25-34,8 a 12 SM,GO,Campinas,Morumbi,WhatsApp,2024-06-15,1,True
12028,CLI0012028,Igor Ribeiro,Feminino,35-44,12 a 20 SM,PE,Curitiba,Perdizes,Loja Física,2024-06-26,1,True
12029,CLI0012029,Juliana Carvalho,Masculino,45-54,20+ SM,CE,Porto Alegre,Bela Vista,App,2024-07-07,0,0
12030,CLI0012030,Karina Gomes,Feminino,55-64,Até 2 SM,SP,Salvador,Centro,Site,2024-07-18,1,True
12031,CLI0012031,Lucas Martins,Masculino,65+,2 a 4 SM,RJ,Goiânia,Jardins,WhatsApp,2024-07-29,1,True
12032,CLI0012032,Mariana Rocha,Feminino,65+,4 a 8 SM,MG,Recife,Moema,Loja Física,2024-08-09,1,True
12033,CLI0012033,Nicolas Dias,Masculino,18-24,8 a 12 SM,PR,Fortaleza,Tatuapé,App,2024-08-20,1,True
12034,CLI0012034,Patrícia Araujo,Feminino,25-34,12 a 20 SM,SC,Santos,Pinheiros,Site,2024-08-31,1,True
12035,CLI0012035,Rafael Barbosa,Masculino,35-44,20+ SM,RS,Ribeirão Preto,Vila Mariana,WhatsApp,2024-09-11,1,True
12036,CLI0012036,Sabrina Moura,Feminino,45-54,Até 2 SM,BA,São Paulo,Santana,Loja Física,2024-09-22,1,True
12037,CLI0012037,Thiago Freitas,Masculino,55-64,2 a 4 SM,GO,Rio de Janeiro,Ipiranga,App,2024-10-03,1,True
12038,CLI0012038,Vanessa Mendes,Feminino,65+,4 a 8 SM,PE,Belo Horizonte,Butantã,Site,2024-10-14,1,True
12039,CLI0012039,William Teixeira,Masculino,65+,8 a 12 SM,CE,Campinas,Lapa,WhatsApp,2024-10-25,1,True
12040,CLI0012040,Ana Silva,Feminino,18-24,12 a 20 SM,SP,Curitiba,Liberdade,Loja Física,2024-11-05,1,True
12041,CLI0012041,Bruno Souza,Masculino,25-34,20+ SM,RJ,Porto Alegre,Saúde,App,2024-11-16,1,True
12042,CLI0012042,Carlos Oliveira,Feminino,35-44,Até 2 SM,MG,Salvador,Morumbi,Site,2024-11-27,1,True
12043,CLI0012043,Daniela Santos,Masculino,45-54,2 a 4 SM,PR,Goiânia,Perdizes,WhatsApp,2024-12-08,1,True
12044,CLI0012044,Eduardo Pereira,Feminino,55-64,4 a 8 SM,SC,Recife,Bela Vista,Loja Física,2024-12-19,1,True
12045,CLI0012045,Fernanda Lima,Masculino,65+,8 a 12 SM,RS,Fortaleza,Centro,App,2024-12-30,1,True
12046,CLI0012046,Gabriel Costa,Feminino,65+,12 a 20 SM,BA,Santos,Jardins,Site,2025-01-10,1,True
12047,CLI0012047,Helena Almeida,Masculino,18-24,20+ SM,GO,Ribeirão Preto,Moema,WhatsApp,2025-01-21,1,True
12048,CLI0012048,Igor Ribeiro,Feminino,25-34,Até 2 SM,PE,São Paulo,Tatuapé,Loja Física,2025-02-01,1,True
12049,CLI0012049,Juliana Carvalho,Masculino,35-44,2 a 4 SM,CE,Rio de Janeiro,Pinheiros,App,2025-02-12,1,True
12050,CLI0012050,Karina Gomes,Feminino,45-54,4 a 8 SM,SP,Belo Horizonte,Vila Mariana,Site,2025-02-23,1,True
12051,CLI0012051,Lucas Martins,Masculino,55-64,8 a 12 SM,RJ,Campinas,Santana,WhatsApp,2025-03-06,1,True
12052,CLI0012052,Mariana Rocha,Feminino,65+,12 a 20 SM,MG,Curitiba,Ipiranga,Loja Física,2025-03-17,0,0
12053,CLI0012053,Nicolas Dias,Masculino,65+,20+ SM,PR,Porto Alegre,Butantã,App,2025-03-28,1,True
12054,CLI0012054,Patrícia Araujo,Feminino,18-24,Até 2 SM,SC,Salvador,Lapa,Site,2025-04-08,1,True
12055,CLI0012055,Rafael Barbosa,Masculino,25-34,2 a 4 SM,RS,Goiânia,Liberdade,WhatsApp,2025-04-19,1,True
12056,CLI0012056,Sabrina Moura,Feminino,35-44,4 a 8 SM,BA,Recife,Saúde,Loja Física,2025-04-30,1,True
12057,CLI0012057,Thiago Freitas,Masculino,45-54,8 a 12 SM,GO,Fortaleza,Morumbi,App,2025-05-11,1,True
12058,CLI0012058,Vanessa Mendes,Feminino,55-64,12 a 20 SM,PE,Santos,Perdizes,Site,2025-05-22,1,True
12059,CLI0012059,William Teixeira,Masculino,65+,20+ SM,CE,Ribeirão Preto,Bela Vista,WhatsApp,2025-06-02,1,True
12060,CLI0012060,Ana Silva,Feminino,65+,Até 2 SM,SP,São Paulo,Centro,Loja Física,2025-06-13,1,True
12061,CLI0012061,Bruno Souza,Masculino,18-24,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2025-06-24,1,True
12062,CLI0012062,Carlos Oliveira,Feminino,25-34,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2025-07-05,1,True
12063,CLI0012063,Daniela Santos,Masculino,35-44,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2025-07-16,1,True
12064,CLI0012064,Eduardo Pereira,Feminino,45-54,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2025-07-27,1,True
12065,CLI0012065,Fernanda Lima,Masculino,55-64,20+ SM,RS,Porto Alegre,Vila Mariana,App,2025-08-07,1,True
12066,CLI0012066,Gabriel Costa,Feminino,65+,Até 2 SM,BA,Salvador,Santana,Site,2025-08-18,1,True
12067,CLI0012067,Helena Almeida,Masculino,65+,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2025-08-29,1,True
12068,CLI0012068,Igor Ribeiro,Feminino,18-24,4 a 8 SM,PE,Recife,Butantã,Loja Física,2025-09-09,1,True
12069,CLI0012069,Juliana Carvalho,Masculino,25-34,8 a 12 SM,CE,Fortaleza,Lapa,App,2025-09-20,1,True
12070,CLI0012070,Karina Gomes,Feminino,35-44,12 a 20 SM,SP,Santos,Liberdade,Site,2025-10-01,1,True
12071,CLI0012071,Lucas Martins,Masculino,45-54,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2025-10-12,1,True
12072,CLI0012072,Mariana Rocha,Feminino,55-64,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2025-10-23,1,True
12073,CLI0012073,Nicolas Dias,Masculino,65+,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2025-11-03,1,True
12074,CLI0012074,Patrícia Araujo,Feminino,65+,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2025-11-14,1,True
12075,CLI0012075,Rafael Barbosa,Masculino,18-24,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2025-11-25,0,0
12076,CLI0012076,Sabrina Moura,Feminino,25-34,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2025-12-06,1,True
12077,CLI0012077,Thiago Freitas,Masculino,35-44,20+ SM,GO,Porto Alegre,Moema,App,2025-12-17,1,True
12078,CLI0012078,Vanessa Mendes,Feminino,45-54,Até 2 SM,PE,Salvador,Tatuapé,Site,2025-12-28,1,True
12079,CLI0012079,William Teixeira,Masculino,55-64,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2019-01-10,1,True
12080,CLI0012080,Ana Silva,Feminino,65+,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2019-01-21,1,True
12081,CLI0012081,Bruno Souza,Masculino,65+,8 a 12 SM,RJ,Fortaleza,Santana,App,2019-02-01,1,True
12082,CLI0012082,Carlos Oliveira,Feminino,18-24,12 a 20 SM,MG,Santos,Ipiranga,Site,2019-02-12,1,True
12083,CLI0012083,Daniela Santos,Masculino,25-34,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2019-02-23,1,True
12084,CLI0012084,Eduardo Pereira,Feminino,35-44,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2019-03-06,1,True
12085,CLI0012085,Fernanda Lima,Masculino,45-54,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2019-03-17,1,True
